Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2.02E+12,1,9,0,9,0,3,1,10,7,1,1,1,6,1,19,4,1596,1,11,3,1,3
2.02E+12,2,8,0,4,0,1,0,0,0,0,1,1,2,1,45,7,1956,2,4,4,1,4
2.02E+12,1,9,0,9,0,5,0,0,0,0,1,1,6,1,55,8,1995,2,5,8,1,8
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,6,2,21,5,1995,1,6,3,1,3
2.02E+12,2,9,0,5,0,8,0,0,7,10,2,1,6,2,43,7,1595,1,9,8,1,8
2.02E+12,1,9,0,4,0,8,0,0,0,0,1,1,6,1,61,9,1299,1,17,2,1,2
2.02E+12,1,9,0,18,0,2,0,7,0,0,1,1,6,1,76,11,1598,1,13,2,1,2
2.02E+12,2,9,0,9,0,8,0,0,0,0,4,1,6,1,18,4,1796,1,15,2,1,2
2.02E+12,1,9,0,9,0,1,0,0,0,0,3,1,6,2,24,5,1229,1,4,5,1,5
2.02E+12,2,3,0,18,0,1,0,0,0,0,1,1,6,1,23,5,125,1,7,2,1,2
2.02E+12,1,9,0,9,0,1,0,0,0,0,1,1,6,1,44,7,1461,2,7,5,1,5
2.02E+12,2,3,0,13,0,1,0,0,0,0,4,1,6,1,24,5,125,1,1,6,1,6
2.02E+12,1,9,0,3,0,1,0,0,0,0,1,1,6,2,35,6,1968,2,7,2,1,2
2.02E+12,1,9,0,18,0,1,0,0,0,0,4,1,6,1,18,4,999,1,5,8,1,8
2.02E+12,1,11,0,7,0,5,0,0,0,0,4,1,1,1,60,9,5132,2,2,4,1,4
2.02E+12,1,4,0,18,0,2,0,0,0,0,4,1,2,1,53,8,125,1,14,5,1,5
2.02E+12,2,9,0,3,0,1,0,0,0,0,0,2,6,1,40,7,2148,2,15,6,1,6
2.02E+12,1,4,0,18,0,3,0,0,0,0,1,1,1,1,30,6,249,1,8,5,1,5
2.02E+12,2,9,0,6,0,3,0,0,0,0,3,1,6,1,27,6,1395,1,1,5,1,5
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,2,49,8,1242,1,7,9,1,9
2.02E+12,2,9,0,10,0,6,0,0,0,0,1,1,6,1,28,6,1798,1,1,5,1,5
2.02E+12,1,3,0,7,0,3,0,0,0,0,4,1,6,1,30,6,125,1,4,8,1,8
2.02E+12,2,19,0,18,0,4,0,0,0,0,1,1,1,1,62,9,2800,2,14,6,1,6
2.02E+12,1,9,0,18,0,8,1,11,0,0,1,1,6,1,23,5,1197,1,3,4,1,4
2.02E+12,1,21,1,18,0,8,0,0,0,0,1,1,1,1,32,6,10837,2,2,5,1,5
2.02E+12,2,9,0,18,0,8,0,0,0,0,3,1,6,1,54,8,1395,1,1,4,3,4
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,2,1,41,7,1910,2,11,9,1,9
2.02E+12,2,9,0,7,0,8,0,0,0,0,3,1,1,1,52,8,1598,1,5,1,1,1
2.02E+12,1,8,0,4,0,1,0,0,0,0,2,1,1,1,61,9,2143,2,1,8,1,8
2.02E+12,2,9,0,4,0,1,0,0,0,0,2,1,1,1,28,6,998,1,5,3,1,3
2.02E+12,3,8,0,4,0,1,0,0,0,0,1,1,1,1,31,6,1798,8,2,2,1,2
2.02E+12,1,9,0,9,0,2,0,0,0,0,1,1,3,2,37,7,1799,1,11,10,1,10
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,6,2,22,5,1995,1,10,9,1,9
2.02E+12,2,9,0,18,0,6,0,0,0,0,4,1,6,1,57,9,1968,2,2,8,1,8
2.02E+12,1,9,0,9,0,8,0,0,0,0,4,1,2,2,28,6,1968,2,3,8,1,8
2.02E+12,2,11,0,18,0,8,0,0,0,0,1,1,1,1,40,7,6700,2,5,4,1,4
2.02E+12,1,9,0,5,0,6,0,0,0,0,1,1,6,1,43,7,2000,1,12,6,1,6
2.02E+12,2,9,0,18,0,1,0,0,0,0,4,1,2,2,30,6,1796,1,7,6,1,6
2.02E+12,1,9,0,18,0,1,1,7,0,0,1,1,2,1,31,6,1329,1,8,7,1,7
2.02E+12,1,9,0,13,0,1,0,0,0,0,1,1,1,1,26,6,1595,1,3,6,1,6
2.02E+12,2,9,0,10,0,1,0,0,0,0,1,1,1,1,50,8,1242,1,13,8,1,8
2.02E+12,1,19,0,18,0,8,0,0,0,0,1,1,1,1,27,6,2402,2,14,2,1,2
2.02E+12,2,19,0,3,0,8,0,0,0,0,2,1,1,1,50,8,11705,2,9,1,1,1
2.02E+12,1,9,0,9,0,6,0,0,0,0,1,1,2,1,53,8,1685,2,4,7,1,7
2.02E+12,2,19,0,18,0,1,0,0,0,0,0,1,1,1,49,8,3920,2,8,10,2,10
2.02E+12,1,3,0,15,0,1,2,0,0,0,0,1,2,1,32,6,114,1,3,2,1,2
2.02E+12,2,9,0,4,0,8,0,0,0,0,0,1,6,1,46,8,2987,2,3,6,1,6
2.02E+12,1,9,0,18,0,4,0,0,0,0,1,1,6,1,30,6,1598,1,10,7,1,7
2.02E+12,2,9,0,3,0,1,0,0,0,0,2,1,2,2,65,9,1596,1,14,7,1,7
2.02E+12,3,9,0,5,0,1,0,0,0,0,2,1,6,1,34,6,1995,2,7,5,1,5
2.02E+12,1,9,0,13,0,3,1,0,0,0,1,1,6,1,23,5,1995,2,5,3,1,3
2.02E+12,2,9,0,4,0,1,0,0,0,0,4,1,6,2,45,7,1984,2,6,10,1,10
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,6,2,44,7,1753,2,16,4,1,4
2.02E+12,2,9,0,18,0,8,0,0,0,0,1,1,6,1,19,4,1360,1,10,7,1,7
2.02E+12,1,11,0,5,0,1,0,0,0,0,0,1,1,2,28,6,9000,2,10,5,1,5
2.02E+12,1,4,0,18,0,2,0,0,0,0,3,1,2,1,49,8,790,1,11,4,1,4
2.02E+12,1,19,0,18,0,1,0,0,0,0,1,1,1,1,28,6,2461,2,18,3,1,3
2.02E+12,1,9,0,3,0,6,0,0,1,10,3,1,1,1,44,7,1956,2,3,4,1,4
2.02E+12,2,9,0,9,0,8,0,0,0,0,1,1,6,1,23,5,1596,1,14,3,1,3
2.02E+12,1,9,0,3,0,2,0,0,0,0,3,1,6,2,36,7,1348,1,16,4,1,4
2.02E+12,2,21,1,7,0,2,0,0,0,0,3,1,1,1,29,6,12740,2,4,6,1,6
2.02E+12,1,4,0,4,0,2,1,0,0,0,4,1,6,1,31,6,108,1,5,3,1,3
2.02E+12,2,9,0,9,0,8,0,0,0,0,4,1,6,2,19,4,1461,2,3,4,1,4
2.02E+12,1,9,0,9,0,4,0,0,0,0,4,1,6,1,18,4,1200,1,14,5,1,5
2.02E+12,2,9,0,18,0,4,0,0,0,0,1,1,6,1,45,7,998,1,17,5,1,5
2.02E+12,1,9,0,18,0,1,0,7,0,0,1,1,6,2,18,4,1198,1,13,5,1,5
2.02E+12,1,9,0,18,0,4,0,4,0,0,1,1,6,2,57,9,1995,1,8,6,1,6
2.02E+12,2,9,0,9,0,3,0,0,0,0,4,1,6,2,63,9,1598,1,13,4,1,4
2.02E+12,1,3,0,18,0,1,2,0,0,0,3,1,2,2,27,6,125,1,19,8,1,8
2.02E+12,2,9,0,4,0,2,0,0,0,0,0,1,2,1,39,7,2993,2,5,9,1,9
2.02E+12,2,9,4,4,0,1,0,0,0,0,1,1,1,1,25,5,1686,2,6,5,1,5
2.02E+12,3,9,0,4,0,1,0,10,0,0,2,1,2,1,29,6,1968,2,5,7,1,7
2.02E+12,1,5,0,3,0,1,0,0,0,0,2,1,2,1,35,6,599,1,10,10,1,10
2.02E+12,1,2,0,18,0,1,1,11,0,0,1,1,6,2,27,6,49,1,8,3,1,3
2.02E+12,1,9,0,9,0,1,0,0,0,0,4,1,6,2,25,5,1995,2,5,7,1,7
2.02E+12,1,9,0,9,0,8,0,0,0,0,2,1,1,1,34,6,1798,8,4,5,1,5
2.02E+12,2,19,0,9,0,8,0,0,0,0,1,1,6,1,37,7,2402,2,13,4,1,4
2.02E+12,1,9,0,9,0,8,0,0,0,0,1,1,6,1,31,6,1995,1,10,2,1,2
2.02E+12,2,9,0,18,0,8,0,0,0,0,1,1,6,1,53,8,1995,2,10,2,1,2
2.02E+12,1,3,0,5,0,1,0,0,0,0,2,1,6,1,20,4,124,1,7,2,1,2
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,1,40,7,1560,2,3,5,1,5
2.02E+12,2,9,0,4,0,1,0,0,0,0,2,1,1,2,52,8,1242,1,3,7,1,7
2.02E+12,1,3,0,18,0,8,0,0,1,0,3,1,2,1,43,7,125,1,4,6,1,6
2.02E+12,2,19,0,9,0,8,0,0,0,0,1,2,1,2,41,7,2143,2,1,8,1,8
2.02E+12,1,9,0,3,0,1,0,0,0,0,2,1,6,1,48,8,998,1,9,3,1,3
2.02E+12,2,9,0,4,0,1,0,0,0,0,2,1,2,2,37,7,1968,2,9,10,1,10
2.02E+12,3,9,0,11,0,1,0,0,0,0,1,1,2,2,26,6,999,1,1,9,1,9
2.02E+12,1,4,0,3,0,1,0,0,0,0,2,1,2,1,34,6,395,1,4,2,1,2
2.02E+12,1,9,0,9,0,5,0,0,0,0,1,1,2,1,49,8,1396,1,16,4,1,4
2.02E+12,2,4,0,18,0,1,5,0,0,0,1,1,2,1,33,6,279,1,1,4,1,4
2.02E+12,1,3,0,18,0,1,0,9,0,0,1,1,1,1,42,7,125,1,2,2,1,2
2.02E+12,2,9,0,18,0,1,0,10,0,0,1,1,6,1,36,7,1968,2,1,4,1,4
2.02E+12,1,3,0,15,0,1,0,0,0,0,3,1,1,1,35,6,125,1,3,5,1,5
2.02E+12,2,8,0,9,0,5,0,0,0,0,1,1,1,1,32,6,2143,2,3,5,1,5
2.02E+12,1,9,0,4,0,8,0,0,0,0,1,1,6,1,45,7,1797,8,7,2,1,2
2.02E+12,1,19,0,1,0,8,0,0,0,0,2,1,1,1,29,6,1598,2,1,5,1,5
2.02E+12,1,9,0,7,0,8,0,7,0,0,1,1,6,1,27,6,2000,1,12,2,1,2
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,2,2,61,9,1398,2,9,5,1,5
2.02E+12,1,9,0,9,0,4,0,0,1,0,3,1,6,1,44,7,2996,1,8,7,3,7
2.02E+12,2,9,0,3,0,4,0,0,0,0,1,1,6,1,64,9,1596,1,13,2,1,2
2.02E+12,1,9,0,10,0,1,0,0,0,0,1,1,6,2,77,11,1061,1,13,8,1,8
2.02E+12,2,9,0,18,0,8,0,0,0,0,3,1,3,2,44,7,998,1,18,8,1,8
2.02E+12,1,21,0,9,0,8,0,0,0,0,1,1,1,1,50,8,10677,2,1,1,1,1
2.02E+12,1,9,0,9,0,1,0,0,0,0,0,1,1,1,27,6,1198,1,7,3,1,3
