Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2.02E+12,2,9,0,18,0,8,0,0,0,0,3,1,6,1,45,7,1397,1,4,7,1,7
2.02E+12,1,11,0,5,2,1,0,0,0,0,0,1,1,1,54,8,4500,2,3,4,1,4
2.02E+12,1,9,0,18,0,8,0,11,0,0,1,1,6,1,34,6,1299,1,15,2,1,2
2.02E+12,1,9,0,7,0,5,0,0,0,0,1,1,6,2,41,7,1497,8,11,2,1,2
2.02E+12,1,4,0,18,0,8,0,0,0,0,1,1,6,1,29,6,125,1,11,2,1,2
2.02E+12,2,9,0,5,2,2,0,0,0,0,1,2,2,2,55,8,999,1,8,4,1,4
2.02E+12,1,9,0,9,0,5,0,0,0,0,3,1,6,2,19,4,1242,1,8,3,3,3
2.02E+12,2,9,0,18,0,8,0,0,0,0,1,1,6,1,28,6,1242,1,1,2,1,2
2.02E+12,1,3,0,18,0,8,1,0,0,0,0,1,6,1,29,6,108,1,2,1,1,1
2.02E+12,2,8,0,10,0,8,0,0,0,0,0,1,1,1,27,6,1797,8,4,3,1,3
2.02E+12,1,4,0,18,0,8,0,0,0,0,1,1,1,1,46,8,471,1,1,3,1,3
2.02E+12,2,9,0,9,0,8,0,0,0,0,4,1,6,1,21,5,1995,2,5,3,1,3
2.02E+12,1,4,0,18,0,1,2,0,0,0,1,1,6,1,19,4,125,1,5,7,1,7
2.02E+12,2,9,0,9,0,1,0,0,0,0,1,1,6,2,23,5,1461,2,3,2,1,2
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,1,24,5,1364,1,9,4,1,4
2.02E+12,2,9,0,9,0,1,0,0,0,0,1,1,6,1,30,6,1596,1,8,5,1,5
2.02E+12,1,9,0,1,0,1,0,0,0,0,2,1,6,1,24,5,1968,2,9,2,1,2
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,1,27,6,2987,2,6,2,1,2
2.02E+12,1,19,0,4,0,4,0,0,0,0,1,1,1,1,28,6,2198,2,4,5,1,5
2.02E+12,2,9,0,3,0,4,0,0,0,0,2,1,6,1,34,6,1598,2,2,2,1,2
2.02E+12,3,9,0,3,0,4,0,0,0,0,2,1,6,1,28,6,2967,2,5,10,1,10
2.02E+12,1,19,0,18,0,1,0,0,0,0,1,1,6,1,49,8,2402,2,8,2,1,2
2.02E+12,2,9,0,18,0,1,0,0,0,0,3,1,6,2,20,4,998,1,11,9,1,9
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,1,22,5,1796,1,14,3,1,3
2.02E+12,2,9,0,9,0,5,0,0,0,0,1,1,6,2,22,5,1197,1,3,9,1,9
2.02E+12,1,3,0,18,0,1,0,0,0,0,3,1,6,1,40,7,125,1,8,2,1,2
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,2,1,52,8,1798,8,4,4,1,4
2.02E+12,2,9,0,9,0,8,0,0,0,0,1,1,2,1,27,6,2987,2,9,1,1,1
2.02E+12,3,9,0,18,0,8,0,0,0,0,2,1,6,1,37,7,1998,1,14,3,1,3
2.02E+12,1,9,0,7,0,2,0,11,0,0,1,1,6,1,58,9,1396,1,4,3,1,3
2.02E+12,1,9,0,18,0,8,0,0,0,0,3,1,6,1,21,5,1200,1,1,1,1,1
2.02E+12,1,9,0,9,0,1,0,0,0,0,1,1,6,1,31,6,1968,2,13,8,1,8
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,1,40,7,1198,1,12,3,1,3
2.02E+12,2,9,0,9,0,6,0,0,0,0,1,1,6,1,29,6,1999,1,12,6,1,6
2.02E+12,1,8,0,10,0,2,0,0,0,0,3,1,1,1,70,10,2402,2,15,7,1,7
2.02E+12,2,9,0,13,0,1,1,0,0,0,4,1,6,1,19,4,1199,1,14,8,1,8
2.02E+12,2,9,0,9,6,1,0,0,0,0,2,1,6,2,40,7,1240,1,11,3,1,3
2.02E+12,1,9,0,5,0,1,0,0,0,0,1,1,6,1,34,6,1339,8,5,2,1,2
2.02E+12,1,3,0,13,0,8,0,0,0,0,4,1,6,1,41,7,124,1,4,5,1,5
2.02E+12,2,9,0,9,0,5,0,0,0,0,3,1,6,1,64,9,1591,1,8,6,1,6
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,2,53,8,1598,2,1,3,1,3
2.02E+12,2,20,0,3,0,1,0,0,0,0,1,1,1,1,62,9,5132,2,3,5,1,5
2.02E+12,1,11,0,18,0,3,0,0,0,0,0,1,1,1,44,7,6700,2,8,4,1,4
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,2,19,4,998,1,13,4,1,4
2.02E+12,1,9,0,18,0,6,0,0,0,0,4,1,6,1,64,9,1998,1,13,10,1,10
2.02E+12,2,3,0,13,0,2,0,0,0,0,3,1,6,1,23,5,125,1,1,4,1,4
2.02E+12,2,9,0,4,0,1,0,0,0,0,2,1,6,2,23,5,1399,2,5,6,1,6
2.02E+12,3,9,0,18,0,1,0,0,0,0,1,1,2,1,57,9,1598,1,16,2,1,2
2.02E+12,1,19,0,1,0,2,0,0,0,0,2,1,1,1,28,6,2148,2,9,6,1,6
2.02E+12,1,9,0,18,0,1,0,4,0,0,4,1,6,2,49,8,1995,2,9,4,1,4
2.02E+12,1,9,0,5,0,1,0,0,0,0,1,1,6,1,42,7,1685,2,2,1,1,1
2.02E+12,2,3,0,18,0,1,0,0,0,0,1,1,6,1,22,5,125,1,3,4,1,4
2.02E+12,1,9,0,9,0,7,0,0,1,0,4,1,6,1,55,8,1997,2,9,9,1,9
2.02E+12,2,9,0,18,0,7,0,0,3,0,1,1,6,2,40,7,1598,1,5,3,1,3
2.02E+12,1,9,0,17,0,8,0,0,0,0,1,1,1,1,51,8,1339,1,11,2,1,2
2.02E+12,2,3,0,17,0,8,0,0,0,0,2,1,1,1,39,7,125,1,11,2,1,2
2.02E+12,1,9,0,9,0,8,0,0,0,0,1,1,6,1,25,5,1995,2,3,4,1,4
2.02E+12,2,4,0,18,0,8,0,0,0,0,1,1,6,1,30,6,124,1,9,3,1,3
2.02E+12,1,8,0,4,0,1,0,0,0,0,2,1,6,1,30,6,1798,8,2,6,1,6
2.02E+12,2,19,0,4,0,1,0,0,0,0,1,1,6,1,37,7,2686,2,13,1,1,1
2.02E+12,1,9,0,3,0,2,0,0,0,0,2,1,6,1,39,7,1995,2,6,3,1,3
2.02E+12,2,9,0,3,0,2,0,0,0,0,1,1,6,1,43,7,1299,1,16,3,1,3
2.02E+12,1,3,0,18,0,1,1,0,0,0,1,1,1,1,30,6,124,1,12,4,1,4
2.02E+12,2,9,0,8,0,6,0,0,0,0,1,1,6,2,63,9,1586,1,3,5,1,5
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,6,2,69,10,1329,1,3,5,1,5
2.02E+12,2,19,0,18,0,8,0,0,3,0,1,1,6,2,30,6,2151,2,16,3,1,3
2.02E+12,1,8,0,16,0,6,0,0,0,0,1,1,1,1,57,9,1991,1,2,3,1,3
2.02E+12,2,3,0,3,0,2,0,0,0,0,2,1,2,1,31,6,125,1,2,4,1,4
2.02E+12,1,5,0,5,0,2,0,0,0,0,0,1,6,1,44,7,998,1,3,9,1,9
2.02E+12,2,9,0,5,0,1,0,0,0,0,0,1,6,1,54,8,2993,2,4,10,1,10
2.02E+12,1,8,0,9,0,1,0,0,0,0,4,1,1,1,27,6,1497,8,9,3,1,3
2.02E+12,2,9,0,18,0,1,0,0,0,0,1,1,6,1,19,4,1149,1,11,3,1,3
2.02E+12,1,9,0,5,0,1,0,10,0,0,4,1,6,2,35,6,1560,2,6,4,1,4
2.02E+12,1,9,0,18,0,8,0,0,0,0,3,1,6,1,37,7,2720,2,9,4,1,4
2.02E+12,2,9,0,9,0,8,0,0,0,0,1,1,6,1,47,8,1598,1,12,3,1,3
2.02E+12,1,9,0,18,9,6,1,7,1,10,4,1,6,1,29,6,1999,2,2,5,1,5
2.02E+12,1,9,0,10,0,1,0,0,0,0,2,1,1,1,55,8,1997,2,6,5,1,5
2.02E+12,1,9,0,13,0,1,0,0,0,0,1,1,2,1,38,7,1799,1,11,4,1,4
2.02E+12,1,9,0,18,0,2,0,0,0,0,1,1,6,1,42,7,996,1,2,3,1,3
2.02E+12,2,9,0,18,0,1,0,0,0,0,1,1,6,1,59,9,2993,2,12,9,1,9
2.02E+12,3,9,0,18,0,1,0,0,0,0,2,1,6,2,50,8,1587,1,10,9,1,9
2.02E+12,2,9,0,18,0,2,0,0,0,0,1,1,6,2,36,7,1364,1,11,3,1,3
2.02E+12,1,9,0,9,0,8,0,0,0,0,1,2,1,1,45,7,1998,1,13,1,1,1
2.02E+12,2,9,0,18,0,8,0,0,0,0,1,1,6,1,68,10,1560,2,6,3,1,3
2.02E+12,1,9,0,5,0,3,0,0,0,0,1,1,6,1,48,8,1388,1,6,3,1,3
2.02E+12,2,9,0,18,9,3,0,10,6,10,1,1,6,1,24,5,998,1,5,5,1,5
2.02E+12,1,9,0,18,0,2,0,0,0,0,1,1,6,1,34,6,1781,1,14,3,1,3
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,1,80,11,1339,1,11,2,1,2
2.02E+12,1,9,0,1,0,2,0,0,0,0,4,1,6,1,40,7,3993,1,4,6,1,6
2.02E+12,1,4,0,18,0,1,0,0,0,0,4,1,2,1,37,7,169,1,1,3,1,3
2.02E+12,2,9,0,9,0,1,0,0,0,0,3,1,6,1,42,7,1596,1,12,2,1,2
2.02E+12,1,9,0,13,0,1,0,0,7,10,1,1,6,1,25,5,1781,1,12,2,1,2
2.02E+12,1,9,0,7,2,1,0,0,0,0,4,1,6,1,25,5,1398,1,2,5,1,5
2.02E+12,2,5,0,15,2,1,0,0,0,0,3,1,6,1,30,6,745,1,3,6,1,6
2.02E+12,1,3,0,18,0,8,0,0,0,0,1,1,6,1,25,5,124,1,6,8,1,8
2.02E+12,2,9,0,9,0,8,0,0,0,0,4,1,6,1,50,8,1995,1,13,4,1,4
2.02E+12,1,9,0,4,0,1,0,0,0,0,2,1,6,1,26,6,1598,1,12,5,1,5
2.02E+12,1,9,0,9,0,1,0,0,0,0,0,1,1,1,23,5,1299,1,14,6,1,6
2.02E+12,1,9,0,4,0,8,0,0,0,0,1,1,2,1,42,7,2993,2,6,2,1,2
2.02E+12,2,9,0,3,0,8,0,0,0,0,2,1,2,2,28,6,999,1,2,1,1,1
2.02E+12,3,9,0,4,0,8,0,0,0,0,2,1,6,1,23,5,1386,1,10,3,1,3
2.02E+12,2,9,0,18,9,5,5,10,1,1,3,1,6,1,23,5,1242,1,11,3,1,3
2.02E+12,3,9,0,9,0,8,0,0,0,0,3,1,6,1,29,6,1995,2,6,4,1,4
2.02E+12,1,9,0,18,0,2,0,0,0,0,1,1,6,1,40,7,1587,1,13,4,1,4
2.02E+12,2,9,0,18,0,2,0,0,0,0,2,1,6,1,47,8,998,1,14,3,1,3
2.02E+12,1,9,0,18,0,4,0,0,0,0,4,1,6,2,61,9,1395,1,2,3,1,3
2.02E+12,2,9,0,18,0,2,2,6,0,0,2,1,6,1,25,5,1388,1,9,1,1,1
2.02E+12,1,9,0,8,0,3,1,0,0,0,1,1,6,2,19,4,1398,1,1,6,1,6
2.02E+12,2,9,0,9,0,4,0,0,0,0,1,1,6,1,48,8,1896,2,13,2,1,2
2.02E+12,1,8,0,9,0,2,0,0,0,0,1,1,1,1,43,7,1997,2,4,3,1,3
2.02E+12,1,9,0,14,0,5,0,0,0,0,4,1,6,2,27,6,1968,2,10,5,1,5
2.02E+12,2,9,0,3,0,8,0,0,0,0,0,1,6,2,57,9,1397,1,10,5,1,5
2.02E+12,1,19,0,18,0,2,0,0,0,0,2,1,1,1,24,5,1995,2,6,3,1,3
2.02E+12,1,9,0,4,0,8,0,0,0,0,2,1,6,2,25,5,1461,2,5,4,3,4
2.02E+12,2,9,0,4,0,8,0,0,0,0,2,1,6,2,36,7,1396,1,16,2,1,2
2.02E+12,3,19,0,4,0,8,0,0,0,0,1,1,6,1,31,6,2287,2,1,4,1,4
2.02E+12,1,8,0,7,0,2,0,0,0,0,3,2,1,1,50,8,1956,2,3,8,1,8
2.02E+12,1,9,0,5,0,8,0,0,0,0,1,1,6,1,25,5,1968,2,2,3,1,3
2.02E+12,1,9,0,3,0,1,0,0,0,0,2,1,6,1,35,6,1995,2,3,3,1,3
2.02E+12,1,9,0,9,0,6,0,10,7,10,4,1,6,2,23,5,1461,2,2,2,1,2
2.02E+12,1,8,0,11,0,1,0,0,0,0,1,1,1,1,45,7,1797,8,8,3,1,3
2.02E+12,1,9,0,5,0,1,0,0,0,0,1,1,1,1,32,6,1339,1,14,8,1,8
2.02E+12,2,9,0,18,0,1,0,0,0,0,3,1,1,1,40,7,1461,2,7,4,1,4
2.02E+12,1,9,0,18,0,2,1,7,0,0,2,1,6,1,20,4,1995,2,12,6,1,6
2.02E+12,2,9,0,18,0,2,0,11,0,0,3,1,6,1,41,7,2429,1,13,4,1,4
2.02E+12,1,9,0,18,0,1,0,0,0,0,3,1,6,1,49,8,1149,1,6,9,1,9
2.02E+12,2,9,0,4,0,1,0,0,0,0,2,1,6,2,22,5,1229,1,4,4,1,4
2.02E+12,3,9,0,4,0,1,0,0,0,0,1,1,6,1,32,6,1968,2,1,3,1,3
2.02E+12,1,9,0,4,0,4,0,0,0,0,1,1,6,1,38,7,1997,2,9,5,1,5
2.02E+12,1,9,0,5,0,1,0,0,0,0,1,1,2,1,21,5,1796,1,11,3,1,3
2.02E+12,1,9,0,7,0,6,0,0,0,0,3,1,6,1,24,5,1598,1,7,2,1,2
2.02E+12,1,11,0,7,0,5,0,0,0,0,3,1,1,1,60,9,4500,2,2,6,1,6
2.02E+12,1,9,0,18,0,2,0,0,0,0,4,1,6,2,62,9,2199,2,1,9,1,9
2.02E+12,1,8,0,4,0,1,0,0,0,0,1,1,1,1,39,7,2499,2,9,4,1,4
2.02E+12,1,9,0,3,0,1,0,0,0,0,1,1,2,1,49,8,1997,2,12,6,2,6
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,6,1,55,8,1595,1,5,2,1,2
2.02E+12,1,9,0,18,0,2,0,0,0,0,1,1,2,2,47,8,1598,1,5,3,1,3
2.02E+12,1,9,0,18,0,8,0,10,0,0,1,1,6,2,57,9,1339,1,6,2,1,2
2.02E+12,2,9,0,17,0,4,0,0,0,0,1,1,6,1,61,9,1797,8,7,10,1,10
2.02E+12,1,9,0,18,0,1,0,0,0,0,3,1,6,2,43,7,2497,1,10,9,1,9
2.02E+12,2,9,0,18,0,2,0,0,0,0,1,2,6,1,22,5,1968,2,3,3,1,3
2.02E+12,1,9,0,18,0,1,1,0,0,0,1,1,6,1,34,6,1796,1,13,2,1,2
2.02E+12,2,9,0,6,0,1,1,10,0,0,1,1,6,2,67,10,1395,1,1,6,2,6
2.02E+12,1,9,0,1,0,1,0,0,0,0,2,1,6,1,30,6,2204,2,7,4,1,4
2.02E+12,1,9,0,5,0,8,0,0,0,0,1,2,6,2,28,6,998,1,14,4,1,4
2.02E+12,2,9,0,5,0,1,0,0,0,0,1,2,6,2,48,8,1968,2,2,2,1,2
2.02E+12,1,11,0,5,2,1,0,0,0,0,1,1,1,1,44,7,4500,2,1,3,1,3
2.02E+12,1,8,0,18,0,4,0,0,0,0,1,1,6,1,40,7,1896,2,9,4,1,4
2.02E+12,2,8,0,18,0,4,0,0,0,0,3,1,6,1,48,8,1998,2,5,2,1,2
2.02E+12,1,8,0,7,0,1,0,0,0,0,1,1,6,1,41,7,1997,2,6,4,1,4
2.02E+12,1,9,0,16,0,4,0,0,0,0,1,1,6,1,27,6,1149,1,9,2,1,2
2.02E+12,1,8,0,18,0,2,0,0,0,0,4,1,1,1,55,8,2499,2,10,6,1,6
2.02E+12,1,9,0,3,0,1,0,0,0,0,2,1,6,2,47,8,1299,1,14,5,1,5
2.02E+12,1,9,0,9,0,8,0,0,0,0,0,1,2,1,36,7,1596,1,6,8,1,8
2.02E+12,1,19,0,5,0,2,0,0,0,0,1,1,1,1,46,8,2143,2,3,8,2,8
2.02E+12,2,9,0,18,0,1,0,0,0,0,2,1,2,1,47,8,1995,2,1,3,1,3
2.02E+12,1,9,3,9,0,5,0,0,0,0,1,1,6,1,31,6,1985,1,16,5,1,5
2.02E+12,2,9,0,18,0,1,0,0,0,0,1,1,6,2,46,8,1242,1,14,3,1,3
2.02E+12,1,9,0,17,0,8,0,0,0,0,2,1,6,1,31,6,1242,1,6,9,1,9
2.02E+12,2,9,0,18,0,1,1,7,0,0,2,1,6,2,52,8,1596,1,10,10,1,10
2.02E+12,2,9,0,15,2,8,0,0,0,0,0,1,1,1,34,6,2987,2,6,3,1,3
2.02E+12,1,9,0,18,0,1,0,0,0,0,2,1,6,1,79,11,1584,1,11,5,1,5
2.02E+12,2,9,0,18,0,2,1,9,0,0,1,1,6,1,32,6,1598,1,4,3,1,3
2.02E+12,1,9,0,18,0,2,0,0,0,0,3,1,6,1,23,5,1598,1,14,7,1,7
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,1,54,8,1368,1,9,7,1,7
2.02E+12,1,11,0,18,0,1,0,0,0,0,0,1,1,1,27,6,6700,2,6,3,1,3
2.02E+12,1,9,0,18,0,2,0,0,0,0,3,1,6,2,24,5,1598,1,7,2,1,2
2.02E+12,1,9,0,10,9,6,0,0,0,0,4,2,6,1,79,11,1598,1,5,10,1,10
2.02E+12,1,19,0,9,0,8,0,11,0,0,1,2,1,1,38,7,2143,2,2,1,1,1
2.02E+12,1,9,0,18,0,2,5,0,0,0,1,1,6,1,33,6,2183,2,7,2,1,2
2.02E+12,2,4,0,18,0,6,0,0,0,0,1,1,6,1,16,4,499,1,8,10,1,10
2.02E+12,1,11,0,18,2,1,0,0,0,0,4,1,1,1,32,6,6692,2,4,4,1,4
2.02E+12,1,9,0,7,0,1,0,0,0,0,4,1,6,1,23,5,1968,2,1,1,1,1
2.02E+12,2,9,0,5,0,1,0,0,0,0,1,1,2,1,24,5,1229,1,6,1,1,1
2.02E+12,1,9,0,7,0,5,0,0,0,0,3,1,2,1,32,6,1761,1,19,2,1,2
2.02E+12,2,2,0,13,0,5,0,0,0,0,1,1,2,1,39,7,109,1,3,6,1,6
2.02E+12,1,19,0,7,0,8,0,0,0,0,1,2,6,1,40,7,2300,2,11,9,1,9
2.02E+12,2,3,0,5,0,2,0,0,0,0,4,1,1,1,19,4,108,1,3,7,1,7
2.02E+12,2,9,0,3,0,2,0,0,0,0,1,1,6,1,42,7,2000,2,6,2,1,2
2.02E+12,3,9,0,5,0,1,0,0,0,0,0,1,6,1,67,10,2143,2,7,4,1,4
2.02E+12,1,9,0,4,0,1,0,0,0,0,2,1,6,1,37,7,1497,8,11,2,1,2
2.02E+12,2,9,0,4,0,1,0,0,0,0,1,1,2,1,20,4,1797,8,4,8,1,8
2.02E+12,1,3,0,8,0,1,0,0,0,0,1,1,6,1,33,6,108,1,9,2,1,2
2.02E+12,2,9,0,9,0,2,0,0,0,0,1,1,6,1,21,5,1995,2,4,4,1,4
2.02E+12,1,9,0,7,0,2,0,0,0,0,3,1,6,1,22,5,1299,1,15,1,1,1
2.02E+12,1,9,0,18,0,2,0,0,0,0,1,1,6,1,76,11,1596,1,13,7,1,7
2.02E+12,1,9,0,9,0,6,0,0,0,0,3,1,6,1,29,6,1390,1,14,6,1,6
2.02E+12,2,3,0,18,0,1,0,0,0,0,1,1,6,1,27,6,108,1,1,10,1,10
2.02E+12,2,9,0,9,0,2,0,0,0,0,3,1,6,2,68,10,1397,1,8,10,1,10
2.02E+12,3,19,0,9,0,1,0,0,0,0,1,1,6,1,45,7,1753,2,11,5,1,5
2.02E+12,1,9,0,18,0,5,1,0,0,0,1,1,6,2,31,6,1330,1,12,1,1,1
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,1,1,51,8,1686,2,7,5,1,5
2.02E+12,2,9,0,8,0,8,0,0,0,0,1,1,6,1,33,6,1598,1,12,7,1,7
2.02E+12,1,9,0,9,0,1,0,0,0,0,3,1,6,1,39,7,2143,2,4,6,1,6
2.02E+12,2,9,0,18,0,1,0,0,0,0,4,1,6,2,46,8,1596,1,3,4,1,4
2.02E+12,1,11,0,15,0,1,0,0,0,0,1,1,1,1,31,6,9360,2,6,4,1,4
2.02E+12,1,9,0,7,0,6,0,0,0,0,2,1,6,1,22,5,1560,2,6,2,1,2
2.02E+12,1,11,0,5,3,1,0,0,0,0,0,1,1,1,54,8,6700,2,7,6,1,6
2.02E+12,1,9,0,17,0,2,0,0,0,0,1,1,1,1,45,7,1997,2,3,3,1,3
2.02E+12,1,9,0,9,0,8,0,0,0,0,1,1,1,1,31,6,2143,2,2,2,1,2
2.02E+12,2,3,0,18,0,8,0,0,0,0,1,1,1,1,30,6,125,1,3,1,1,1
2.02E+12,1,11,0,18,0,4,0,0,0,0,1,1,1,2,51,8,6700,2,6,5,1,5
2.02E+12,2,9,0,18,0,4,0,0,0,0,2,1,6,2,22,5,1197,1,2,7,3,7
2.02E+12,1,8,0,5,0,3,0,0,0,0,1,1,6,1,39,7,1910,2,9,2,1,2
2.02E+12,2,9,0,5,0,3,0,0,0,0,4,1,6,1,30,6,2993,2,9,3,1,3
2.02E+12,1,9,0,18,0,7,0,0,0,0,3,1,6,1,31,6,2000,2,7,2,1,2
2.02E+12,2,19,0,4,0,6,0,0,1,0,3,1,1,1,58,9,2198,2,5,2,1,2
2.02E+12,1,9,0,18,0,8,0,0,0,0,3,1,6,1,39,7,1560,2,4,8,1,8
2.02E+12,2,9,0,18,0,8,0,0,0,0,1,1,6,1,23,5,1995,2,3,2,1,2
2.02E+12,1,9,0,9,0,8,0,0,0,0,1,1,6,1,21,5,1686,2,6,6,1,6
2.02E+12,2,4,0,18,0,1,0,0,0,0,1,1,6,1,17,4,125,1,7,7,1,7
2.02E+12,1,9,0,7,0,4,0,0,0,0,1,1,6,1,67,10,1497,8,9,4,1,4
2.02E+12,1,9,0,9,0,5,0,0,0,0,4,1,6,2,22,5,1240,1,8,3,1,3
2.02E+12,2,3,0,18,0,1,0,0,0,0,1,1,6,1,33,6,125,1,2,4,1,4
2.02E+12,1,9,0,18,0,1,0,0,0,0,4,1,1,1,55,8,1997,2,4,3,1,3
2.02E+12,2,19,0,10,0,8,0,0,0,0,3,1,6,1,59,9,2500,2,10,3,1,3
2.02E+12,1,9,0,18,0,8,1,0,8,2,4,1,6,1,21,5,1796,1,10,3,1,3
2.02E+12,2,9,0,9,0,8,0,0,0,0,1,1,6,1,51,8,1198,1,2,2,1,2
2.02E+12,1,9,0,3,0,2,0,0,0,0,2,1,6,2,68,10,1791,8,6,7,1,7
2.02E+12,2,9,0,18,0,1,0,0,0,0,1,1,6,2,69,10,1339,1,9,5,1,5
2.02E+12,2,3,0,14,0,1,0,0,0,0,1,1,1,1,27,6,125,1,12,8,1,8
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,6,2,25,5,999,1,8,4,1,4
2.02E+12,2,9,0,9,0,5,0,0,1,0,3,1,6,2,56,9,1595,1,14,2,1,2
2.02E+12,1,9,0,9,0,1,0,0,0,0,3,1,1,1,40,7,1997,2,5,2,1,2
2.02E+12,2,3,0,18,0,1,0,0,0,0,1,1,6,1,28,6,125,1,7,5,1,5
2.02E+12,1,9,0,18,0,8,0,7,0,0,2,1,6,1,25,5,1968,2,1,3,1,3
2.02E+12,1,9,0,18,0,2,1,4,0,0,1,1,6,1,33,6,2987,2,7,5,1,5
2.02E+12,1,9,0,9,0,2,0,0,0,0,3,1,6,2,27,6,1197,1,5,6,1,6
2.02E+12,2,3,0,18,0,1,5,0,0,0,1,1,6,1,22,5,108,1,3,7,1,7
2.02E+12,1,9,0,6,0,6,0,0,0,0,3,1,6,1,44,7,1998,2,2,2,1,2
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,2,2,48,8,1598,1,13,2,1,2
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,1,21,5,1595,1,4,7,1,7
2.02E+12,1,9,0,9,0,5,0,0,0,0,3,1,6,1,51,8,1910,2,10,10,1,10
2.02E+12,2,3,0,13,0,8,0,0,0,0,1,1,6,1,25,5,125,1,2,7,1,7
2.02E+12,1,11,0,10,0,2,0,0,0,0,3,2,1,1,61,9,4500,2,3,6,1,6
2.02E+12,2,9,0,13,0,1,0,0,0,0,1,1,6,1,19,4,1968,2,7,3,1,3
2.02E+12,1,11,0,5,0,1,0,0,0,0,0,1,1,1,54,8,4461,2,3,2,1,2
2.02E+12,1,9,0,9,0,1,0,0,0,0,2,1,6,1,25,5,1368,1,1,4,1,4
2.02E+12,1,8,0,18,0,1,0,0,0,0,0,1,6,1,44,7,1968,2,2,3,1,3
2.02E+12,1,9,0,4,0,1,0,0,0,0,1,1,6,1,28,6,999,1,8,2,1,2
2.02E+12,2,2,0,4,0,1,0,0,0,0,2,1,1,1,39,7,108,1,4,3,1,3
2.02E+12,1,9,0,6,0,8,0,0,0,0,2,1,6,2,29,6,1242,1,7,3,1,3
2.02E+12,2,9,0,5,0,8,0,0,0,0,1,1,6,1,42,7,2697,2,11,5,1,5
2.02E+12,1,3,0,18,0,1,5,0,0,0,1,1,6,1,34,6,125,1,20,3,1,3
2.02E+12,1,9,0,7,0,2,0,0,0,0,1,1,6,2,36,7,1246,1,13,2,1,2
2.02E+12,1,9,0,18,0,8,0,0,0,0,2,1,6,1,58,9,1998,1,17,4,1,4
2.02E+12,2,11,0,18,0,8,0,0,0,0,1,1,6,1,57,9,4500,2,10,2,1,2
2.02E+12,1,3,0,18,0,8,0,0,0,0,1,1,6,1,19,4,125,1,4,8,1,8
2.02E+12,2,9,0,9,0,6,0,0,0,0,1,1,6,2,55,8,1995,2,7,9,3,9
2.02E+12,1,9,0,10,0,4,0,0,0,0,2,1,6,1,45,7,1995,2,13,2,1,2
2.02E+12,2,9,0,10,0,4,0,0,0,0,1,1,6,2,22,5,1242,1,11,2,1,2
2.02E+12,3,8,0,18,0,2,0,0,0,0,2,1,1,1,33,6,1956,2,6,1,1,1
2.02E+12,1,9,0,18,0,8,0,0,0,0,3,1,6,2,24,5,1229,1,6,2,1,2
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,1,81,11,1796,1,18,6,1,6
2.02E+12,1,9,0,18,0,2,0,0,0,0,3,1,6,2,51,8,1240,1,13,2,1,2
2.02E+12,2,3,0,13,0,2,0,0,0,0,4,1,6,1,27,6,125,1,3,1,1,1
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,1,1,33,6,2143,12,3,4,1,4
2.02E+12,1,8,0,18,0,2,0,0,0,0,4,1,1,1,47,8,2143,12,4,5,1,5
2.02E+12,1,9,0,9,0,5,0,0,0,0,1,1,6,1,30,6,1598,1,8,5,1,5
2.02E+12,1,5,0,5,0,4,0,0,0,0,2,1,6,1,29,6,649,1,11,8,1,8
2.02E+12,1,9,0,7,0,6,0,0,0,0,3,1,6,1,23,5,1395,1,3,1,1,1
2.02E+12,2,9,0,18,0,1,0,0,0,0,1,1,6,1,29,6,1995,2,13,3,1,3
2.02E+12,1,3,0,5,0,1,0,0,0,0,2,1,1,1,45,7,108,1,2,2,1,2
2.02E+12,1,9,0,18,0,6,0,0,0,0,1,1,6,2,22,5,1389,1,13,2,1,2
