Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident
2.02E+12,466536,173527,-1.043737,51.456822,43,3,1,1,5,472,6,7201,6,30,3,4,6,7201,0,0,4,1,1,0,0,1,1
2.02E+12,455139,203732,-1.203016,51.729605,43,3,2,1,1,482,4,480,1,30,1,2,3,4142,0,5,4,2,2,0,0,1,1
2.02E+12,455123,203780,-1.20324,51.730038,43,3,1,1,1,482,4,480,1,30,1,4,3,4142,0,5,4,2,2,0,0,1,1
2.02E+12,480439,170587,-0.844345,51.42859,43,3,2,1,1,475,2,329,3,70,5,4,2,329,0,0,4,2,2,0,0,2,1
2.02E+12,482327,171704,-0.816936,51.438361,43,3,2,1,4,475,6,7510,6,60,3,4,6,7510,0,0,6,1,2,0,0,2,1
2.02E+12,489608,187687,-0.708152,51.580934,43,3,3,1,4,480,6,1894,6,30,3,4,6,1894,0,0,1,7,4,0,0,1,1
2.02E+12,487341,192682,-0.739618,51.62619,43,3,2,1,6,480,3,40,6,30,8,4,6,1970,0,0,1,1,1,0,0,1,2
2.02E+12,474086,172486,-0.93531,51.446527,43,2,2,1,2,472,3,3229,6,30,3,4,6,7201,0,0,4,2,2,0,0,1,1
2.02E+12,487427,233920,-0.727983,51.996862,43,3,2,1,5,479,5,130,6,30,3,4,6,1027,0,0,1,1,1,0,0,1,1
2.02E+12,487654,239499,-0.723251,52.046974,43,3,2,1,2,479,5,146,3,70,1,4,5,9010,0,0,4,1,2,0,0,2,1
2.02E+12,486746,241476,-0.735986,52.064887,43,3,2,3,4,479,5,160,6,60,3,4,6,1158,0,0,4,1,2,0,0,1,1
2.02E+12,493734,181005,-0.650403,51.520199,43,3,2,1,5,473,3,4,3,40,6,2,6,7302,0,5,4,1,1,0,0,1,1
2.02E+12,476035,210978,-0.898927,51.792303,43,3,3,1,6,476,3,418,6,50,3,4,6,102,0,0,4,2,2,0,0,2,1
2.02E+12,498225,184382,-0.584754,51.549791,43,3,2,1,5,477,4,416,6,30,3,4,6,27,0,4,1,1,1,0,0,1,1
2.02E+12,476951,228094,-0.881841,51.94604,43,3,3,2,7,476,3,413,6,30,3,4,6,1661,0,0,1,1,1,0,0,2,1
2.02E+12,495589,181176,-0.62363,51.521425,43,3,2,2,7,473,6,7302,6,30,6,2,6,7302,0,5,1,1,1,0,0,1,1
2.02E+12,481885,213946,-0.813423,51.818159,43,2,1,1,1,476,6,1996,1,30,2,4,6,1996,0,1,4,1,2,0,0,1,1
2.02E+12,485618,239932,-0.752823,52.051184,43,3,2,1,2,479,4,4034,3,70,3,4,6,1145,0,0,1,1,1,0,0,2,2
2.02E+12,493737,181003,-0.650361,51.52018,43,3,2,2,3,473,3,4,3,40,6,2,6,7302,0,0,4,1,2,0,0,1,1
2.02E+12,466307,174293,-1.046889,51.463736,43,3,2,1,7,472,6,7201,6,30,3,4,6,7201,0,0,4,1,2,0,0,1,1
2.02E+12,490244,190798,-0.698177,51.608797,43,2,1,1,3,480,3,40,6,30,3,4,6,1718,0,0,1,1,2,0,0,1,1
2.02E+12,465709,171718,-1.055974,51.440655,43,3,2,1,2,471,3,4,1,40,1,4,6,7153,0,0,1,1,1,0,0,1,1
2.02E+12,488334,181630,-0.728054,51.526686,43,3,1,1,3,474,6,7408,6,30,3,4,6,7408,0,0,4,2,2,0,0,1,1
2.02E+12,450685,206253,-1.267135,51.75269,43,3,2,1,2,482,3,4144,6,20,1,4,3,420,0,0,4,1,1,0,0,1,1
2.02E+12,498265,174927,-0.586811,51.464795,43,3,2,1,6,474,3,308,1,30,1,4,3,308,0,1,1,1,1,0,0,1,2
2.02E+12,484186,236118,-0.774639,52.01712,43,3,2,1,4,479,6,1056,6,30,3,4,6,1056,0,0,1,2,2,0,0,1,2
2.02E+12,485908,238334,-0.748996,52.036775,43,3,2,1,4,479,6,1069,6,30,1,4,6,1069,0,0,1,8,2,0,0,1,2
2.02E+12,450912,208641,-1.263498,51.774138,43,3,2,1,2,482,3,4165,6,30,3,2,4,4495,1,5,1,1,2,0,0,1,1
2.02E+12,467099,173077,-1.03572,51.45271,43,2,2,1,6,472,6,7201,1,30,1,4,6,7201,0,0,4,2,2,0,0,1,1
2.02E+12,491514,185021,-0.681347,51.556663,43,3,2,1,3,477,6,61,6,60,3,4,6,25,0,0,6,2,2,0,0,2,1
2.02E+12,452285,205962,-1.244002,51.749927,43,3,2,1,1,482,3,420,1,20,1,4,4,480,0,8,1,1,2,0,0,1,1
2.02E+12,452284,205961,-1.244017,51.749918,43,2,2,1,6,482,3,420,1,20,1,4,4,480,0,8,4,2,2,0,0,1,1
2.02E+12,495929,184969,-0.617697,51.555463,43,3,2,1,4,477,6,908,6,30,8,4,6,908,0,0,1,1,2,0,0,1,1
2.02E+12,480438,239564,-0.828434,52.048651,43,3,2,2,4,479,5,142,6,60,3,4,6,1116,0,0,1,2,2,0,0,2,1
2.02E+12,470644,172534,-0.984819,51.447398,43,3,2,1,4,472,3,4155,6,30,6,2,6,7201,0,4,1,2,2,0,0,1,1
2.02E+12,450418,210232,-1.270426,51.788487,43,3,3,1,5,482,3,4165,1,30,1,2,3,40,0,5,1,1,1,0,0,1,1
2.02E+12,497383,181661,-0.597646,51.525479,43,3,2,1,5,473,6,7302,6,30,3,4,6,7302,0,0,4,1,1,0,0,1,2
2.02E+12,496470,176581,-0.612192,51.479971,43,3,1,1,6,474,6,7409,6,30,3,4,6,7409,0,1,4,1,2,0,0,1,2
2.02E+12,482453,214270,-0.805108,51.820988,43,3,2,2,5,476,3,418,3,30,3,4,6,1996,0,0,1,1,2,0,0,1,1
2.02E+12,481463,213882,-0.819559,51.817645,43,3,1,1,5,476,3,418,1,30,1,4,3,41,0,0,1,1,2,0,0,1,1
2.02E+12,486380,192537,-0.753534,51.625035,43,2,4,4,6,480,3,404,3,30,3,4,6,1970,0,0,1,1,3,0,0,1,1
2.02E+12,488602,167732,-0.727672,51.40171,43,3,2,1,6,470,6,7007,1,30,1,4,6,7007,0,0,7,9,2,0,0,1,2
2.02E+12,500647,182383,-0.550406,51.531396,43,2,2,4,1,477,3,412,3,60,3,4,6,27,0,0,1,1,2,0,0,2,1
2.02E+12,495522,166901,-0.628446,51.393117,43,3,3,2,1,474,3,30,6,30,3,4,4,383,0,4,1,1,1,0,0,1,1
2.02E+12,471265,174991,-0.97539,51.46941,43,3,1,1,1,472,6,7201,6,30,3,4,6,7201,0,0,4,1,1,0,0,1,1
2.02E+12,495898,202284,-0.613402,51.711109,43,3,2,1,7,478,6,2002,6,30,6,4,6,2002,0,0,1,1,1,0,0,1,2
2.02E+12,471744,173723,-0.968752,51.457949,43,3,2,1,6,472,6,7201,1,30,1,4,3,329,0,0,4,1,2,0,0,1,1
2.02E+12,454023,217896,-1.216972,51.857053,43,3,1,1,7,481,3,34,7,60,5,4,3,34,0,0,6,1,1,0,0,2,1
2.02E+12,499981,178821,-0.561015,51.499497,43,3,2,1,7,473,3,4,6,30,3,4,6,7302,0,0,4,1,1,0,0,1,1
2.02E+12,497475,181457,-0.596377,51.523629,43,3,2,1,7,473,6,7302,6,30,3,4,6,7302,0,0,1,2,2,0,0,1,2
2.02E+12,477404,175735,-0.886865,51.475292,43,3,2,1,6,475,3,3032,1,30,2,4,6,7503,0,0,1,1,1,0,0,2,1
2.02E+12,487453,200635,-0.736011,51.697663,43,3,1,1,5,478,6,495,6,30,3,4,6,495,0,0,4,1,1,0,0,2,1
2.02E+12,494484,181192,-0.639547,51.521755,43,3,2,1,3,473,6,7302,6,30,3,4,6,7302,0,0,4,1,1,0,0,1,1
2.02E+12,477681,170905,-0.883937,51.431833,43,3,2,1,2,475,3,329,6,40,3,4,6,7514,0,8,4,2,2,0,0,1,1
